term,pos,comment,is_case_sensitive,en,comment_en
[་ -བྱང་ཆུབ་ སེམས་དཔའ་ -འི་ ཚུལ་ཁྲིམས་ ཀྱི་ སྡོམ་པ་ ]་ -ཡང་དག་པ་ -ར་ བླང་བ,,term-[bodhisattvaśīlasaṃvara]samādāna,yes,Teachings on the ceremony of taking [the vows of the bodhisattva discipline],"\nNone\nToh 106, Buddhavacana Translation Group (Vienna),v 1.0.9"
ཀ་ ཆེ,,place-Kaśmīra,yes,Kaśmīra,"\nKashmir\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀ་ ཏ་ མོ་ར་ ཀ་ ཏི་ ཤ,,person-Kaṭamorakatiṣya,yes,Kaṭamorakatiṣya,"\nOne of the members of a group of four monks described in the Vinaya as followers of Devadatta that attempted to create a schism in the Buddhist saṅgha.\nToh 61, Dharmachakra Translation Committee.,v 1.2.16"
ཀ་ ཏ་ མོ་ར་ ཀ་ ཏི་ ཤྱ,,person-Kaṭamorakatiṣya,yes,Kaṭamorakatiṣya,"\nOne of four cronies of Devadatta.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀ་ཏ་ཡ་ན་ ཆེན་ མོ,,person-Mahākātyāyanī,yes,Mahākātyāyanī,"\n‟Great Kātyāyanī,” one of the eight kātyāyanī spirits.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཀ་ཏ་ཡ་ན་ དྲེགས་ མ,,person-Rudrakātyāyanī,yes,Rudrakātyāyanī,"\n‟Violent Kātyāyanī,” one of the eight kātyāyanī spirits.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཀ་ཏ་ཡ་ན་ མཛེས་མ,,person-Śubhakātyāyanī,yes,Śubhakātyāyanī,"\n‟Beautiful Kātyāyanī,” one of the eight kātyāyanī spirits.\nToh 747, Dharmachakra Translation Committee,v 1.0.3Sumbha­kātyāyanī\n‟Radiantly Beautiful Kātyāyanī,” one of the eight kātyāyanī spirits.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཀ་ཏ་ཡ་ན་ ཞི་བ་ མ,,person-Surakātyāyanī,yes,Surakātyāyanī,"\n‟Divine Kātyāyanī,” one of the eight kātyāyanī spirits.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཀ་ཏ་ཡ་ན་ རྒྱལ་བ་ -འི་ བཞིན་ ཅན་ མ,,person-Jaya­mukha­kātyāyanī,yes,Jaya­mukha­kātyāyanī,"\n‟Kātyāyanī Face of Victory,” one of the eight kātyāyanī spirits.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཀ་ཏ་ཡ་ན་ རྣ་ཆ་ ཅན,,person-Kuṇḍala­kātyāyanī,yes,Kuṇḍala­kātyāyanī,"\n‟Kātyāyanī with Earrings,” one of the eight kātyāyanī spirits.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཀ་ ཊུ་ ཀ,,place-Kaṭuka,yes,Kaṭuka,"\nA land to the north of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀཱ་ ཏྱཱ་ ཡ་ ན་ ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,"\nOne of the great śrāvakas in the maṇḍala of Mañjuśrī, probably the same one that is listed among the śrāvakas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀཱ་ ཏྱཱ་ ཡ་ ན,,person-Kātyāyana; Kātyāyanaputra,yes,Kātyāyana,"\nSon of She Who Gathers and grandson of Padmagarbha, he was a highly realized monk of Buddha Śākyamuni’s order. Also rendered here as “Kātyāyanaputra.”\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22\nOne of the śrāvakas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀ་ ཏྱ་ ཡ་ ན་ -འི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,"\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
ཀཱ་ ཏྱཱ་ ཡ་ ན་ -འི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,"\nName of an elder and senior disciple of Buddha Śākyamuni.\nToh 11, Padmakara Translation Group,v 1.39.3"
ཀཱ་ ཏྱཱ་ ཡ་ ན་ -འི་ བུ,,person-Kātyāyanaputra,yes,Kātyāyanaputra,"\nSee “Kātyāyana.”\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀ་ ཏྱའི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,"\n(also Kātyāyana). Disciple of the Buddha noted for his skill in analysis of the Buddha’s discourses and, traditionally, the founder of the Abhidharma.\nToh 176,None,v 1.45.11\nNone\nToh 558, Dharmachakra Translation Committee,v 1.5.16"
ཀཱ་ ཏྱཱའི་ བུ་ཆེན་པོ,,person-Mahākātyāyana,yes,Mahākātyāyana,"\nOne of the Buddha’s foremost hearer disciples.\nToh 101, Dharmachakra Translation Committee,v 1.2.15\nOne of the ten principal pupils of the Buddha. He was renowned for his ability to understand the Buddha’s teachings. Also rendered as “Kātyāyana.”\nToh 113, Peter Alan Roberts,v 1.2.1Kātyāyana\nNone\nToh 145, David Jackson  under the patronage and supervision of 84000: Translating the Words of the Buddha,v 1.4.16"
ཀ་ ཏྱའི་ བུ་ ནོག་ཅན,,person-Kakuda Kātyāyana,yes,Kakuda Kātyāyana,"\nOne of the six philosophical extremists who lived during the time of Buddha Śākyamuni.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀ་ ཏྱཱའི་ བུ་ ནོག་ཅན,,person-Kakuda Kātyāyana,yes,Kakuda Kātyāyana,"\nOne of the six tīrthika teachers contemporaneous with Śākyamuni. Also rendered here as “Kakuda, a descendant of Kātyāyana.”\nToh 1-1, Robert Miller and team,v 1.35.7"
ཀཱ་ ཏྱའི་ བུ་ ནོག་ཅན,,person-Kakuda Kātyāyana,yes,Kakuda Kātyāyana,"\nOne of the six outsider teachers.\nToh 176,None,v 1.45.11"
ཀ་ ཏྱའི་ བུ,,person-Kātyāyana,yes,Kātyāyana,"\n(also Mahākātyāyana). Disciple of the Buddha noted for his skill in analysis of the Buddha’s discourses and, traditionally, the founder of the Abhidharma. See also note https://read.84000.co/translation/UT22084-060-005.html#UT22084-060-005-936.\nToh 176,None,v 1.45.11\nOne of the ten principal pupils of the Buddha. He was foremost in explaining the Dharma.\nToh 44-45, Peter Alan Roberts,v 0.0.8Katyāyanī\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
ཀཱ་ ཏྱཱའི་ བུ,,person-Kātyāyana,yes,Kātyāyana,"\nSee “Mahākātyāyana.”\nToh 113, Peter Alan Roberts,v 1.2.1\nA monk (bhikṣu) and disciple of the Buddha.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8"
